barcode,side,template,LF_wing_d,RF_wing_d,LH_wing_d,RH_wing_d,Body,L_antennae_d,R_antennae_d
MCZ-ENT00068296,dorsal,MCZ-ENT00068296_dorsal,1,1,1,1,1,1,1
MCZ-ENT00068296,ventral,MCZ-ENT00068296_ventral,1,1,1,1,1,1,1
MCZ-ENT00069063,dorsal,MCZ-ENT00069063_dorsal,1,1,1,1,1,1,1
MCZ-ENT00069063,ventral,MCZ-ENT00069063_ventral,1,1,1,1,1,1,1
MCZ-ENT00086787,dorsal,MCZ-ENT00086787_dorsal,1,1,1,1,1,1,1
MCZ-ENT00086787,ventral,MCZ-ENT00086787_ventral,1,1,1,1,1,1,1
MCZ-ENT00086886,dorsal,MCZ-ENT00086886_dorsal,1,1,1,1,1,1,1
MCZ-ENT00086886,ventral,MCZ-ENT00086886_ventral,1,1,1,1,1,1,1
MCZ-ENT00103895,dorsal,MCZ-ENT00103895_dorsal,0,1,1,1,1,1,1
MCZ-ENT00103895,ventral,MCZ-ENT00103895_ventral,0,1,1,1,1,1,1
MCZ-ENT00113098,dorsal,MCZ-ENT00113098_dorsal,1,0,1,1,1,1,1
MCZ-ENT00113098,ventral,MCZ-ENT00113098_ventral,1,0,1,1,1,1,1
MCZ-ENT00116621,dorsal,MCZ-ENT00116621_dorsal,1,1,1,1,1,1,1
MCZ-ENT00116621,ventral,MCZ-ENT00116621_ventral,1,1,1,1,1,1,0
MCZ-ENT00134839,dorsal,MCZ-ENT00134839_dorsal,1,1,1,1,1,1,1
MCZ-ENT00134839,ventral,MCZ-ENT00134839_ventral,1,1,1,1,1,1,1
MCZ-ENT00140355,dorsal,MCZ-ENT00140355_dorsal,1,1,1,1,1,1,1
MCZ-ENT00140355,ventral,MCZ-ENT00140355_ventral,1,1,1,1,1,1,1
MCZ-ENT00140356,dorsal,MCZ-ENT00140356_dorsal,1,1,1,1,1,1,1
MCZ-ENT00140356,ventral,MCZ-ENT00140356_ventral,1,1,1,1,1,1,1
MCZ-ENT00140357,dorsal,MCZ-ENT00140357_dorsal,1,1,1,1,1,1,1
MCZ-ENT00140357,ventral,MCZ-ENT00140357_ventral,1,1,1,1,1,1,1
MCZ-ENT00140370,dorsal,MCZ-ENT00140370_dorsal,1,1,0,1,1,1,1
MCZ-ENT00140370,ventral,MCZ-ENT00140370_ventral,1,1,0,1,1,1,1
MCZ-ENT00140371,dorsal,MCZ-ENT00140371_dorsal,1,1,1,1,1,1,1
MCZ-ENT00140371,ventral,MCZ-ENT00140371_ventral,1,1,1,1,1,1,1
MCZ-ENT00140372,dorsal,MCZ-ENT00140372_dorsal,1,1,1,1,1,1,1
MCZ-ENT00140372,ventral,MCZ-ENT00140372_ventral,1,1,1,1,1,1,1
MCZ-ENT00173775,dorsal,MCZ-ENT00173775_dorsal,1,1,1,1,1,1,1
MCZ-ENT00173775,ventral,MCZ-ENT00173775_ventral,1,1,1,1,1,1,1
MCZ-ENT00176743,dorsal,MCZ-ENT00176743_dorsal,1,1,1,1,1,1,1
MCZ-ENT00176743,ventral,MCZ-ENT00176743_ventral,1,1,1,1,1,1,1
MCZ-ENT00183049,dorsal,MCZ-ENT00183049_dorsal,1,1,1,1,1,1,1
MCZ-ENT00183049,ventral,MCZ-ENT00183049_ventral,1,1,1,1,1,1,1
MCZ-ENT00185721,dorsal,MCZ-ENT00185721_dorsal,1,1,1,1,1,1,1
MCZ-ENT00185721,ventral,MCZ-ENT00185721_ventral,1,1,1,1,1,1,1
MCZ-ENT00185723,dorsal,MCZ-ENT00185723_dorsal,1,1,1,1,1,1,1
MCZ-ENT00185723,ventral,MCZ-ENT00185723_ventral,1,1,1,1,1,1,1
MCZ-ENT00193718,dorsal,MCZ-ENT00193718_dorsal,1,1,1,1,1,1,1
MCZ-ENT00193718,ventral,MCZ-ENT00193718_ventral,1,1,1,1,1,1,1
MCZ-ENT00212762,dorsal,MCZ-ENT00212762_dorsal,1,1,1,1,1,1,1
MCZ-ENT00212762,ventral,MCZ-ENT00212762_ventral,1,1,1,1,1,1,1
MCZ-ENT00212936,dorsal,MCZ-ENT00212936_dorsal,1,1,1,1,1,1,1
MCZ-ENT00212936,ventral,MCZ-ENT00212936_ventral,1,1,1,1,1,1,1
MCZ-ENT00212937,dorsal,MCZ-ENT00212937_dorsal,1,1,1,1,1,1,0
MCZ-ENT00212937,ventral,MCZ-ENT00212937_ventral,1,1,1,1,1,1,0
MCZ-ENT00733306,dorsal,MCZ-ENT00733306_dorsal,1,1,1,1,1,1,1
MCZ-ENT00733306,ventral,MCZ-ENT00733306_ventral,1,1,1,1,1,1,1
MCZ-ENT00753857,dorsal,MCZ-ENT00753857_dorsal,1,1,1,1,1,1,1
MCZ-ENT00753857,ventral,MCZ-ENT00753857_ventral,1,1,1,1,1,1,1
MGCL-295034,dorsal,MGCL-295034_dorsal,1,1,1,1,1,1,1
MGCL-295034,ventral,MGCL-295034_ventral,1,1,1,1,1,1,1